"","species","WWF_MHT","dcmlLng","dcmlLtt","S_mean_raster","Crowther_Nature_Biome_Revision_01_WGS84_GeoTiff","wc2.1_10m_bio_1","wc2.1_10m_bio_4","wc2.1_10m_bio_12","wc2.1_10m_bio_15"
"5906","Antarctica","Temperate Broadleaf and Mixed Forests",151.438173,-33.39664,36.8635406494141,60742.3846865922,17.4889736175537,374.527160644531,1299,28.776762008667
"5907","Antarctica","Temperate Broadleaf and Mixed Forests",151.631916,-32.075331,31.4036273956299,58007.8641901161,13.7129373550415,431.614227294922,1342,31.436128616333
"5908","Antarctica","Temperate Broadleaf and Mixed Forests",152.468362,-31.60593,NA,4403.26825133828,16.2628231048584,394.83740234375,1583,44.6729316711426
"5909","Antarctica","Temperate Broadleaf and Mixed Forests",151.816085,-31.989555,27.361083984375,56930.449324122,15.6450939178467,430.626220703125,1193,41.2843284606934
"5910","Antarctica","Temperate Broadleaf and Mixed Forests",152.593249,-30.58978,35.7164993286133,59961.029425298,16.4922714233398,385.565490722656,1506,49.4072570800781
"5911","Antarctica","Temperate Broadleaf and Mixed Forests",152.346398,-29.664602,29.1655120849609,61671.910219147,16.1695213317871,404.028717041016,1116,47.3004760742188
"5912","Antarctica","Temperate Broadleaf and Mixed Forests",151.606338,-32.624648,NA,20299.8844578277,17.808708190918,430.762268066406,967,35.2143135070801
"5913","Antarctica","Temperate Broadleaf and Mixed Forests",152.742478,-28.715506,30.3353176116943,55171.8946034991,17.9942283630371,394.619903564453,1172,49.0240669250488
"5914","Antarctica","Temperate Broadleaf and Mixed Forests",151.290818,-33.668956,34.0140724182129,17533.3599522847,17.3169631958008,368.377990722656,1320,27.2282981872559
"5915","Antarctica","Temperate Broadleaf and Mixed Forests",152.154982,-32.29256,30.9983921051025,59228.9115708255,16.660062789917,394.178009033203,1148,36.4127616882324
"5916","Antarctica","Temperate Broadleaf and Mixed Forests",151.635392,-31.546865,31.0042667388916,66181.5851970672,14.1971254348755,456.734130859375,1025,31.7884368896484
"5917","Antarctica","Temperate Broadleaf and Mixed Forests",151.819437,-32.307939,25.7908992767334,58628.1260403787,16.5184059143066,416.726989746094,1257,39.2077484130859
"5918","Antarctica","Temperate Broadleaf and Mixed Forests",151.913263,-32.551115,27.014066696167,61203.0799618074,17.7616901397705,399.767395019531,1150,29.2882308959961
"5919","Antarctica","Temperate Broadleaf and Mixed Forests",151.461738,-33.123172,32.5255584716797,36660.2938897445,17.0380725860596,387.985809326172,1114,31.1929512023926
"5920","Antarctica","Temperate Broadleaf and Mixed Forests",151.14482,-32.992044,17.7756671905518,31104.6110620272,16.5710411071777,431.875732421875,860,31.9482402801514
"5921","Antarctica","Temperate Broadleaf and Mixed Forests",153.556951,-28.335118,35.9523162841797,48299.8379172286,19.8805370330811,335.399841308594,1731,40.8656463623047
"5922","Antarctica","Temperate Broadleaf and Mixed Forests",152.721648,-31.633622,32.3825607299805,40304.5032656674,18.0535488128662,368.716766357422,1437,37.6972885131836
